chanel,time,question,answer,intent,confidence
,2020-08-11 18:31:04.879077,Đăng tin miễn phí thì làm thế nào?,,fee_of_vip_post,0.9706537127494812
,2020-08-11 18:31:04.889588,,"Hiện tại Meeyland cung cấp 3 gói tin VIP là gói Vip 1 giá 40.000đ/tin/ngày, gói Vip 2 giá 25.000đ/tin/ngày, gói Vip 3 giá 15.000đ/tin/ngày ạ.",,
,2020-08-11 18:31:04.889590,,Bạn có thể tham khảo chi tiết bảng giá tại [đây](https://meeyland.com/page/bao-gia),,
,2020-08-11 18:31:36.255380,Làm sao để cho thuê cửa hàng cho nhanh bây giờ?,,how_search_info,0.6909109950065613
,2020-08-11 18:31:36.259832,,"Để tìm kiếm, bạn nhập từ khoá vào thanh công cụ tìm kiếm, hệ thống tự động đưa ra các kết quả tìm kiếm dựa trên từ khoá đã nhập. • [Mua/ Bán Nhà Đất](https://meeyland.com/mua-ban-nha-dat) • [Thuê/ Cho Thuê Nhà Đất](https://meeyland.com/cho-thue-nha-dat) • [Sang Nhượng](https://meeyland.com/sang-nhuong-nha-dat)",,
,2020-08-11 18:32:09.895332,Bạn cho mình biết ngân hàng nào dễ cướp không?,,chitchat,0.8591785430908203
,2020-08-11 18:32:09.899614,,"Xin lỗi, MeeyBot không giúp được bạn việc này!",,
,2020-08-11 18:32:21.986047,Đi cướp ngân hàng không?,,is_withdrawal_allowed_from_meeyid,0.5104756951332092
,2020-08-11 18:32:21.990541,,"Hiện tại MeeyLand chưa cho phép rút tiền từ ví Meey về ngân hàng. Tuy nhiên trong thời gian tới, ví MeeyLand sẽ hoàn thiện hơn và cho phép người dùng được rút tiền về ngân hàng từ ví",,
,2020-08-11 18:33:26.387616,Hồ hoàn kiếm giá bao nhiêu bạn?,,affirm,0.5355517864227295
,2020-08-11 18:33:26.392130,,Vâng ạ,,
,2020-08-11 18:33:51.188539,Giao diện bản đồ có thể đăng tin được không?,,error_when_using_app,0.6262924671173096
,2020-08-11 18:33:51.193054,,"Nếu như bạn gặp vấn đề trong sử dụng Ứng dụng hoặc ứng dụng thiếu chức năng, bạn có thể đang sử dụng phiên bản cũ không hỗ trợ thiết bị điện thoại của bạn. Vui lòng gỡ cài đặt Ứng dụng phiên bản cũ và tải xuống phiên bản mới nhất trên kho Ứng dụng. ",,
,2020-08-11 18:34:36.138268,Covid thì đăng tin thế nào cho hiệu quả?,,how_create_new_post,0.9137572646141052
,2020-08-11 18:34:36.142932,,"Để đăng bài, thực hiện theo các bước sau: Bước 1: Lựa chọn mục đích đăng bài: • [Mua/ Bán Nhà Đất](https://meeyland.com/articles/new?category=mua-ban-nha-dat) • [Thuê/ Cho Thuê Nhà Đất](https://meeyland.com/articles/new?category=cho-thue-nha-dat) • [Sang Nhượng](https://meeyland.com/articles/new?category=sang-nhuong-nha-dat)
Bước 2: Nhập thông tin Bất động sản
Bước 3: Lựa chọn gói tin đăng ([Bảng giá gói tin](https://meeyland.com/page/bao-gia))
Bước 4: Chọn đẩy tin tự động hoặc không ([Bảng giá đẩy tin](https://meeyland.com/page/bao-gia))
Bước 5: Thanh toán nếu chọn gói tin VIP hoặc đẩy tin tự động.
Bước 5: Bạn có thể lưu nháp, xem trước bài đăng hoặc hoàn tất quá trình đăng bài. ",,
Tester,2020-08-11 18:23:32.277271,,,,
,2020-08-11 18:23:32.287401,Chào,,greet,0.9968267679214478
,2020-08-11 18:23:32.289987,,"Xin chào, mình là MeeyBot. Rất vui khi được hỗ trợ bạn.",,
,2020-08-11 18:23:32.347399,Chào,,greet,0.9968267679214478
,2020-08-11 18:23:32.350125,,"Chào bạn, tên mình là MeeyBot. Bạn cần mình giúp gì không?",,
,2020-08-11 18:23:51.272344,mình thích nói chuyện,,chitchat,0.9862291812896729
,2020-08-11 18:23:51.275092,,Mình đoán đó là một thứ mà bố mẹ bạn đã chọn cho bạn.,,
,2020-08-11 18:24:08.499231,mình muốn mua nhà,,how_search_info,0.9997051954269409
,2020-08-11 18:24:08.502412,,"Để tìm kiếm, bạn nhập từ khoá vào thanh công cụ tìm kiếm, hệ thống tự động đưa ra các kết quả tìm kiếm dựa trên từ khoá đã nhập. • [Mua/ Bán Nhà Đất](https://meeyland.com/mua-ban-nha-dat) • [Thuê/ Cho Thuê Nhà Đất](https://meeyland.com/cho-thue-nha-dat) • [Sang Nhượng](https://meeyland.com/sang-nhuong-nha-dat)",,
,2020-08-11 18:24:08.550966,nhà,,how_search_info,0.9997272491455078
,2020-08-11 18:24:08.553906,,"Để tìm kiếm, bạn nhập từ khoá vào thanh công cụ tìm kiếm, hệ thống tự động đưa ra các kết quả tìm kiếm dựa trên từ khoá đã nhập. • [Mua/ Bán Nhà Đất](https://meeyland.com/mua-ban-nha-dat) • [Thuê/ Cho Thuê Nhà Đất](https://meeyland.com/cho-thue-nha-dat) • [Sang Nhượng](https://meeyland.com/sang-nhuong-nha-dat)",,
,2020-08-11 18:24:27.813864,mình muốn mua nhà ở thanh xuân,,how_search_info,0.9832120537757874
,2020-08-11 18:24:27.816972,,"Để tìm kiếm, bạn nhập từ khoá vào thanh công cụ tìm kiếm, hệ thống tự động đưa ra các kết quả tìm kiếm dựa trên từ khoá đã nhập. • [Mua/ Bán Nhà Đất](https://meeyland.com/mua-ban-nha-dat) • [Thuê/ Cho Thuê Nhà Đất](https://meeyland.com/cho-thue-nha-dat) • [Sang Nhượng](https://meeyland.com/sang-nhuong-nha-dat)",,
,2020-08-11 18:24:51.417368,đăng tin thế nào,,how_create_new_post,0.7041751146316528
,2020-08-11 18:24:51.420591,,"Để đăng bài, thực hiện theo các bước sau: Bước 1: Lựa chọn mục đích đăng bài: • [Mua/ Bán Nhà Đất](https://meeyland.com/articles/new?category=mua-ban-nha-dat) • [Thuê/ Cho Thuê Nhà Đất](https://meeyland.com/articles/new?category=cho-thue-nha-dat) • [Sang Nhượng](https://meeyland.com/articles/new?category=sang-nhuong-nha-dat)
Bước 2: Nhập thông tin Bất động sản
Bước 3: Lựa chọn gói tin đăng ([Bảng giá gói tin](https://meeyland.com/page/bao-gia))
Bước 4: Chọn đẩy tin tự động hoặc không ([Bảng giá đẩy tin](https://meeyland.com/page/bao-gia))
Bước 5: Thanh toán nếu chọn gói tin VIP hoặc đẩy tin tự động.
Bước 5: Bạn có thể lưu nháp, xem trước bài đăng hoặc hoàn tất quá trình đăng bài. ",,
,2020-08-11 18:24:51.488332,nào,,greet,0.5671197175979614
,2020-08-11 18:24:51.491517,,"Chào bạn, mình là MeeyBot. Mình giúp gì được cho bạn ạ!",,
,2020-08-11 18:26:17.379366,bạn đăng hộ tôi được không,,why_reject_post,0.6890444755554199
,2020-08-11 18:26:17.382674,,"1. Bài đăng của bạn không được đăng bán vì lí do vi phạm các lí do sau: 
+ Bài đăng không có tiêu đề
+ Bài đăng trùng lặp nội dung với bài đăng trước đó
+ Bài đăng không có hình ảnh đính kèm
+ Tên tiêu đề bài đăng hoặc nội dung không đúng quy định của MeeyLand
+ Nội dung bài đăng chứa thông tin nhạy cảm, vi phạm quy định đăng bài của MeeyLand
",,
,2020-08-11 18:26:17.385696,,"2. Nếu bạn là người dùng đã đăng ký tài khoản trên MeeyLand, bài đăng của bạn không vi phạm quy đinh sẽ được đăng ngay lập tức sau khi bạn hoàn thiện đăng bài và thanh toán chi phí cho bài đăng (nếu có).",,
,2020-08-11 18:26:17.388782,,"3. Lý do không được duyệt bài/bị hạ bài: Trường hợp bài đăng của bạn không được duyệt, chúng tôi sẽ gửi thông báo cho bạn biết lý do không được duyệt bài/bị hạ bài.",,
Tester,2020-08-11 18:24:01.669939,,,,
,2020-08-11 18:24:01.680207,What your name,,chitchat,0.9697005748748779
,2020-08-11 18:24:01.682621,,Giới tính bí mật ạ :),,
,2020-08-11 18:24:11.841461,Ngu,,chitchat,0.9999794363975525
,2020-08-11 18:24:11.844015,,"Eo, thế không hay tí nào đâu.",,
,2020-08-11 18:24:59.676707,What your name ?,,chitchat,0.9697005748748779
,2020-08-11 18:24:59.679372,,Giới tính bí mật ạ :),,
,2020-08-11 18:25:10.110131,Èo học thêm đi,,request_explain_more,0.8318129181861877
,2020-08-11 18:25:10.112981,,"Vui lòng liên hệ với bộ phận Chăm sóc khách hàng để được hỗ trợ nâng cao ạ:
• Gọi đến tổng đài theo số hotline 08.69.09.29.29
• Gửi mail yêu cầu hỗ trợ tới địa chỉ “contact@meeyland.com”
• Chat với 'Chăm sóc khách hàng'",,
Tester,2020-08-11 18:24:26.410603,,,,
,2020-08-11 18:24:26.420881,xin chào bot,,greet,0.9992930889129639
,2020-08-11 18:24:26.423284,,"Chào bạn, mình là MeeyBot. Mình giúp gì được cho bạn ạ!",,
,2020-08-11 18:24:26.456146,bot,,greet,0.9963697195053101
,2020-08-11 18:24:26.458747,,"Chào bạn, tên mình là MeeyBot. Bạn cần mình giúp gì không?",,
,2020-08-11 18:24:46.536642,mình muốn đổi mật khẩu,,how_change_password,0.9954326748847961
,2020-08-11 18:24:46.539479,,"Để thay đổi mật khẩu, bạn đăng nhập vào ứng dụng và nhấp vào mục 'Tài khoản', lựa chọn mục  'Thay đổi mật khẩu'. Tại giao diện này, nhập Mật khẩu cũ và Mẩt khẩu mới. Nếu bạn đang đăng nhập, click vào [đây](https://meeyland.com/user/profile#changePassword) để tới thẳng giao diện 'Thay đổi mật khẩu'.",,
,2020-08-11 18:25:04.871636,mình chưa nhận đc email kích hoạt,,lost_otp,0.760939359664917
,2020-08-11 18:25:04.874510,,"Trường hợp bạn không nhận được mã OTP xác nhận, bạn lựa chọn “Gửi lại mã OTP” ngay dưới ô “Xác nhận” để nhận mã mới. ",,
,2020-08-11 18:26:00.958375,Ê bot,,greet,0.9984116554260254
,2020-08-11 18:26:00.961323,,"Chào bạn, mình là MeeyBot. Mình giúp gì được cho bạn ạ!",,
,2020-08-11 18:26:20.814718,nói chuyện cho vui thôi bot,,chitchat,0.9999977946281433
,2020-08-11 18:26:20.817654,,Trứng vịt muối từ đâu ra? -Vịt muối đẻ chứ đâu!!!,,
,2020-08-11 18:28:57.149991,mình đã chuyển khoản thành công rồi,,why_not_see_money_after_transfer,0.9465516209602356
,2020-08-11 18:28:57.153101,,"Sau khi quý khách nạp tiền thành công, phía công ty Meeyland xác nhận khoản tiền trong tối đa 24h, sau đó tiền sẽ được đẩy về Ví của quý khách.",,
,2020-08-11 18:29:20.254756,duyệt tin giúp mình nhé,,error_when_using_app,0.26691338419914246
,2020-08-11 18:29:20.258049,,Xin lỗi mình không hiểu ý bạn ạ.,,
,2020-08-11 18:30:08.854533,duyệt tin,,approval_time,0.9082272052764893
,2020-08-11 18:30:08.857931,,"- Nếu bạn là người dùng vãng lai, bài đăng của bạn sẽ được kiểm duyệt trong vòng 24h - Nếu bạn là người dùng đã đăng ký tài khoản trên MeeyLand, bài đăng của bạn sẽ được đăng ngay lập tức sau khi bạn hoàn thiện đăng bài và thanh toán chi phí cho bài đăng (nếu có).",,
,2020-08-11 18:31:20.457139,bot vui tính không,,chitchat,0.9999592900276184
,2020-08-11 18:31:20.460499,,Trứng vịt muối từ đâu ra? -Vịt muối đẻ chứ đâu!!!,,
Tester,2020-08-11 18:28:51.238793,,,,
,2020-08-11 18:28:51.249755,Anh Hoàng Mai Chung có vợ chưa,,forgot_password,0.5855416059494019
,2020-08-11 18:28:51.252201,,"Trường hợp bạn quên mật khẩu đăng nhập, bạn vào [đây](https://meeyid.com/forgot-password) để tạo mật khẩu mới.",,
Tester,2020-08-11 18:29:54.328758,,,,
,2020-08-11 18:29:54.339076,hi,,greet,0.9992222189903259
,2020-08-11 18:29:54.341586,,"Xin chào, mình là MeeyBot. Mình có thể giúp gì cho bạn ạ?",,
,2020-08-11 18:30:06.024790,i'am sad,,chitchat,0.9829168915748596
,2020-08-11 18:30:06.027362,,"Xin lỗi, MeeyBot không giúp được bạn việc này!",,
,2020-08-11 18:30:22.675203,vậy Bot giúp đc việc gì,,how_transfer_money_to_account,0.42615005373954773
,2020-08-11 18:30:22.678082,,"Tại meeyland.com, bạn có thể nạp tiền bằng hình thức như sau: • Nạp tiền qua VNPAY; • Nạp tiền vào tài khoản qua Internet Banking và chuyển khoản tới số tài khoản đại diện của Công ty cổ phần tập đoàn Meey Land; • Thanh toán tại văn phòng Chi tiết xem tại đây: ….. (chèn link điều hướng sang video/file hướng dẫn nạp tiền) ",,
,2020-08-11 18:30:44.144313,mình nghèo lắm,,next_step,0.4265449047088623
,2020-08-11 18:30:44.147314,,Xin lỗi mình không hiểu ý bạn ạ.,,
,2020-08-11 18:30:52.806446,mình không có tiền,,canthelp,0.904584527015686
,2020-08-11 18:30:52.809402,,Xin lỗi vì không thể giúp bạn.,,
,2020-08-11 18:31:06.484823,bot cho mình tiền đi,,out_of_scope,0.715893030166626
,2020-08-11 18:31:06.487954,,"Xin lỗi, MeeyBot không giúp được bạn việc này!",,
,2020-08-11 18:31:45.026014,hix,,greet,0.557765781879425
,2020-08-11 18:31:45.029265,,"Chào bạn, tên mình là MeeyBot. Bạn cần mình giúp gì không?",,
,2020-08-11 18:31:49.395827,chán bot,,greet,0.9675045013427734
,2020-08-11 18:31:49.399150,,"Xin chào, mình là MeeyBot. Rất vui khi được hỗ trợ bạn.",,
,2020-08-11 18:32:08.657874,bot khờ lắm,,chitchat,0.7392959594726562
,2020-08-11 18:32:08.661004,,"Vâng, mình là bot ạ!",,
,2020-08-11 18:32:17.884912,bot khờ,,greet,0.9251691102981567
,2020-08-11 18:32:17.888501,,"Chào bạn, tên mình là MeeyBot. Bạn cần mình giúp gì không?",,
,2020-08-11 18:32:37.375579,mình cần mua nhà lá,,how_search_info,0.9964189529418945
,2020-08-11 18:32:37.379500,,"Để tìm kiếm, bạn nhập từ khoá vào thanh công cụ tìm kiếm, hệ thống tự động đưa ra các kết quả tìm kiếm dựa trên từ khoá đã nhập. • [Mua/ Bán Nhà Đất](https://meeyland.com/mua-ban-nha-dat) • [Thuê/ Cho Thuê Nhà Đất](https://meeyland.com/cho-thue-nha-dat) • [Sang Nhượng](https://meeyland.com/sang-nhuong-nha-dat)",,
,2020-08-11 18:32:58.121121,nhưng trên web bán đắt lắm,,how_search_info,0.3809567391872406
,2020-08-11 18:32:58.124792,,"Để tìm kiếm, bạn nhập từ khoá vào thanh công cụ tìm kiếm, hệ thống tự động đưa ra các kết quả tìm kiếm dựa trên từ khoá đã nhập. • [Mua/ Bán Nhà Đất](https://meeyland.com/mua-ban-nha-dat) • [Thuê/ Cho Thuê Nhà Đất](https://meeyland.com/cho-thue-nha-dat) • [Sang Nhượng](https://meeyland.com/sang-nhuong-nha-dat)",,
,2020-08-11 18:34:48.740759,muốn mua nhà ở Mỹ bot ơi,,how_search_info,0.9823626279830933
,2020-08-11 18:34:48.744528,,"Để tìm kiếm, bạn nhập từ khoá vào thanh công cụ tìm kiếm, hệ thống tự động đưa ra các kết quả tìm kiếm dựa trên từ khoá đã nhập. • [Mua/ Bán Nhà Đất](https://meeyland.com/mua-ban-nha-dat) • [Thuê/ Cho Thuê Nhà Đất](https://meeyland.com/cho-thue-nha-dat) • [Sang Nhượng](https://meeyland.com/sang-nhuong-nha-dat)",,
,2020-08-11 18:35:05.267349,mua cả lồng chim luôn,,limit_of_post_number,0.5550148487091064
,2020-08-11 18:35:05.271154,,Bạn sẽ được đăng tin Không giới hạn nếu tài khoản của bạn vẫn có quyền đăng tin. ,,
,2020-08-11 18:35:21.522765,lồng chim thì mua sao,,faq,0.49585849046707153
,2020-08-11 18:35:21.526593,,"Xin lỗi, MeeyBot không giúp được bạn việc này!",,
Tester,2020-08-11 18:37:55.540187,,,,
,2020-08-11 18:37:55.550287,Hi em :)),,greet,0.9975668787956238
,2020-08-11 18:37:55.552831,,"Xin chào, mình là MeeyBot. Mình có thể giúp gì cho bạn ạ?",,
,2020-08-11 18:38:17.131729,Em có người iu chưa ?? :3,,out_of_scope,0.4295138418674469
,2020-08-11 18:38:17.134217,,"Xin lỗi, MeeyBot không giúp được bạn việc này!",,
,2020-08-11 18:38:40.725974,"Chán, oánh nhau không bạn êi",,out_of_scope,0.9844515919685364
,2020-08-11 18:38:40.728771,,"Xin lỗi, MeeyBot không giúp được bạn việc này!",,
,2020-08-11 18:38:56.830778,Cướp ngân hàng không bạn,,chitchat,0.8857788443565369
,2020-08-11 18:38:56.833461,,"Xin lỗi, MeeyBot không giúp được bạn việc này!",,
,2020-08-11 18:40:08.662389,Tôi muốn thuê nhà tại khu vực hà nội thì làm thế Lào?,,how_create_creative_post,0.5373629927635193
,2020-08-11 18:40:08.665274,,"Bạn nên thực hiện các điều sau: 1. Nhập đầy đủ các thông tin cần thiết cho Bất động sản. 2. Đăng tải clip/hình ảnh có phân giải cao, là ảnh thật, sáng đẹp. 3. Điểm nổi bật của bất động sản. 4. Thông tin liên hệ đầy đủ. 5. Lựa chọn các gói tin VIP để tin được hiển thị ở những vị trí tốt.",,
,2020-08-11 18:40:30.608570,Tư vấn sai rồi nhá,,request_explain_more,0.6330515146255493
,2020-08-11 18:40:30.611810,,"Vui lòng liên hệ với bộ phận Chăm sóc khách hàng để được hỗ trợ nâng cao ạ:
• Gọi đến tổng đài theo số hotline 08.69.09.29.29
• Gửi mail yêu cầu hỗ trợ tới địa chỉ “contact@meeyland.com”
• Chat với 'Chăm sóc khách hàng'",,
,2020-08-11 18:40:52.649878,Thái độ à?,,fee_of_vip_post,0.25349998474121094
,2020-08-11 18:40:52.653031,,Xin lỗi mình không hiểu ý bạn ạ.,,
,2020-08-11 18:41:18.241065,Bạn sai hay tôi đúng?,,canthelp,0.9889976978302002
,2020-08-11 18:41:18.244630,,Xin lỗi vì không thể giúp bạn.,,
Tester,2020-08-11 19:22:26.589059,,,,
,2020-08-11 19:22:26.599224,Này,,affirm,0.6919583678245544
,2020-08-11 19:22:26.601708,,Bạn có thắc mắc hay cần giúp đỡ gì nữa không ạ,,
,2020-08-11 19:22:39.730880,Có chứ,,affirm,0.796750545501709
,2020-08-11 19:22:39.733682,,Vâng ạ,,
,2020-08-11 19:22:39.736196,,Rất vui khi được phục vụ bạn :),,
,2020-08-11 19:22:52.867257,Bạn có tiền không,,canthelp,0.4339619576931
,2020-08-11 19:22:52.870122,,Xin lỗi vì không thể giúp bạn.,,
,2020-08-11 19:23:16.558343,Meey land,,faq,0.6490404009819031
,2020-08-11 19:23:16.561379,,"Hệ sinh thái bất động sản Meey Land là thủ lĩnh dẫn đầu áp dụng CMCN 4.0 vào lĩnh vực Bất động sản tại Việt Nam, như trí tuệ nhân tạo (AI), công nghệ blockchain, dữ liệu lớn Bigdata, cung cấp sản phẩm công nghệ kết nối giao dịch bất động sản giữa những người có nhu cầu về bất động sản và người chủ sở hữu bất động sản.
 • Website không chỉ đăng tải các thông tin mua bán Bất động sản mà còn cập nhật nhanh diễn biến thông tin, phân tích, nhận định, định hướng thị trường Bất động sản, kiến thức mua bán nhà đất, danh sách các phòng công chứng…
 • Công cụ tìm kiếm Bất động sản trên bản đồ là một trong các tính năng ưu việt và thuận tiện cho khách hàng của Meey Land.",,
,2020-08-11 19:23:38.578472,Mua meey như nào,,faq,0.7598281502723694
,2020-08-11 19:23:38.581648,,"Hiện tại Meeyland có website [https://meeyland.com](link) và app Meeyland đăng tải thông tin mua bán Bất động sản, cập nhật nhanh diễn biến thông tin, phân tích, nhận định, định hướng thị trường Bất động sản, kiến thức mua bán nhà đất, danh sách các phòng công chứng…",,
,2020-08-11 19:23:59.295242,Đi chơi không,,deny,0.7120681405067444
,2020-08-11 19:23:59.298635,,"Vui lòng liên hệ với bộ phận Chăm sóc khách hàng để được hỗ trợ nâng cao ạ:
• Gọi đến tổng đài theo số hotline 08.69.09.29.29
• Gửi mail yêu cầu hỗ trợ tới địa chỉ “contact@meeyland.com”
• Chat với 'Chăm sóc khách hàng'",,
Tester,2020-08-11 20:24:40.162765,,,,
,2020-08-11 20:24:40.173006,Xin chào,,greet,0.9992638826370239
,2020-08-11 20:24:40.175567,,"Chào bạn, mình là MeeyBot. Mình giúp gì được cho bạn ạ!",,
,2020-08-11 20:24:51.383709,Mưa to quá,,chitchat,0.9983892440795898
,2020-08-11 20:24:51.387532,,"Xin lỗi, MeeyBot không giúp được bạn việc này!",,
,2020-08-11 20:25:12.956724,Quả trứng có trước hay con vịt có trước,,out_of_scope,0.8215477466583252
,2020-08-11 20:25:12.959612,,"Xin lỗi, MeeyBot không giúp được bạn việc này!",,
,2020-08-11 20:25:24.550702,Hà nội ở đâu,,how_register_account,0.7443091869354248
,2020-08-11 20:25:24.553780,,"Để đăng ký tài khoản tại MeeyLand, bạn truy cập [https://meeyid.com/register](https://meeyid.com/register) và thực hiện đăng ký tài khoản theo các nội dung yêu cầu.",,
,2020-08-11 20:25:38.063660,Điên àh,,affirm,0.512334406375885
,2020-08-11 20:25:38.066830,,Bạn có thắc mắc hay cần giúp đỡ gì nữa không ạ,,
,2020-08-11 20:25:47.470850,Hâm,,greet,0.52419114112854
,2020-08-11 20:25:47.474174,,"Xin chào, mình là MeeyBot. Mình có thể giúp gì cho bạn ạ?",,
,2020-08-11 20:25:56.121800,Khỏe,,chitchat,0.9999942779541016
,2020-08-11 20:25:56.125095,,Tuyệt lắm ạ! Cảm ơn bạn đã hỏi thăm!,,
,2020-08-11 20:26:05.279727,Ngu,,chitchat,0.9999794363975525
,2020-08-11 20:26:05.283227,,"Eo, thế không hay tí nào đâu.",,
Tester,2020-08-11 20:27:03.942150,,,,
,2020-08-11 20:27:03.953339,Xin chào,,greet,0.9992638826370239
,2020-08-11 20:27:03.956209,,"Xin chào, mình là MeeyBot. Mình có thể giúp gì cho bạn ạ?",,
,2020-08-11 20:27:13.311877,Bot ngu thế,,chitchat,0.9999967217445374
,2020-08-11 20:27:13.314496,,"Eo, thế không hay tí nào đâu.",,
Tester,2020-08-11 22:29:40.273744,,,,
,2020-08-11 22:29:40.284735,chào bạn,,greet,0.9979511499404907
,2020-08-11 22:29:40.287483,,"Chào bạn, tên mình là MeeyBot. Bạn cần mình giúp gì không?",,
,2020-08-11 22:29:57.847384,tôi muốn sang nhượng quán cà fe,,faq,0.4203656017780304
,2020-08-11 22:29:57.850203,,Xin lỗi mình không hiểu ý bạn ạ.,,
,2020-08-11 22:30:14.207079,tôi muốn sang nhượng quán cà fe,,faq,0.4203656017780304
,2020-08-11 22:30:14.210050,,Xin lỗi mình không hiểu ý bạn ạ.,,
,2020-08-11 22:30:37.771550,tôi muốn bán quán ca fe đang kinh doanh,,how_search_info,0.7868747115135193
,2020-08-11 22:30:37.774546,,"Để tìm kiếm, bạn nhập từ khoá vào thanh công cụ tìm kiếm, hệ thống tự động đưa ra các kết quả tìm kiếm dựa trên từ khoá đã nhập. • [Mua/ Bán Nhà Đất](https://meeyland.com/mua-ban-nha-dat) • [Thuê/ Cho Thuê Nhà Đất](https://meeyland.com/cho-thue-nha-dat) • [Sang Nhượng](https://meeyland.com/sang-nhuong-nha-dat)",,
,2020-08-11 22:31:04.059730,công cụ định giá của meeyland dựa vào tiêu chí nào ?,,faq,0.9999998807907104
,2020-08-11 22:31:04.062715,,"Meey Land định hướng sẽ là một tập đoàn phát triển toàn cầu theo mô hình nhân bản và nhượng quyền thương hiệu. Bằng việc dẫn đầu thị trường và tạo ra sự khác biệt trong việc ứng dụng công nghệ vào lĩnh vực Bất động sản, Meey Land sẽ trở thành thủ lĩnh dẫn đầu trong lĩnh vực này trong thời gian rất ngắn.",,
,2020-08-11 22:31:42.869746,meey map của meeyland khác biệt chỗ nào,,faq,0.9999964833259583
,2020-08-11 22:31:42.872846,,"Hệ sinh thái bất động sản Meey Land là thủ lĩnh dẫn đầu áp dụng CMCN 4.0 vào lĩnh vực Bất động sản tại Việt Nam, như trí tuệ nhân tạo (AI), công nghệ blockchain, dữ liệu lớn Bigdata, cung cấp sản phẩm công nghệ kết nối giao dịch bất động sản giữa những người có nhu cầu về bất động sản và người chủ sở hữu bất động sản.
 • Website không chỉ đăng tải các thông tin mua bán Bất động sản mà còn cập nhật nhanh diễn biến thông tin, phân tích, nhận định, định hướng thị trường Bất động sản, kiến thức mua bán nhà đất, danh sách các phòng công chứng…
 • Công cụ tìm kiếm Bất động sản trên bản đồ là một trong các tính năng ưu việt và thuận tiện cho khách hàng của Meey Land.",,
Tester,2020-08-12 08:37:05.092672,,,,
,2020-08-12 08:37:05.576348,chào buổi sáng bot,,greet,0.40816518664360046
,2020-08-12 08:37:05.583475,,Xin lỗi mình không hiểu ý bạn ạ.,,
,2020-08-12 08:37:05.630122,bot,,greet,0.9963697195053101
,2020-08-12 08:37:05.634502,,"Chào bạn, mình là MeeyBot. Mình giúp gì được cho bạn ạ!",,
,2020-08-12 08:38:09.236801,duyệt tin đi bot,,approval_time,0.5152334570884705
,2020-08-12 08:38:09.240075,,"- Nếu bạn là người dùng vãng lai, bài đăng của bạn sẽ được kiểm duyệt trong vòng 24h - Nếu bạn là người dùng đã đăng ký tài khoản trên MeeyLand, bài đăng của bạn sẽ được đăng ngay lập tức sau khi bạn hoàn thiện đăng bài và thanh toán chi phí cho bài đăng (nếu có).",,
,2020-08-12 08:38:09.272196,bot,,greet,0.9963697195053101
,2020-08-12 08:38:09.276486,,"Xin chào, mình là MeeyBot. Rất vui khi được hỗ trợ bạn.",,
,2020-08-12 08:38:25.615409,bot duyệt bài giúp mình nhé,,approval_time,0.3763352036476135
,2020-08-12 08:38:25.618718,,"- Nếu bạn là người dùng vãng lai, bài đăng của bạn sẽ được kiểm duyệt trong vòng 24h - Nếu bạn là người dùng đã đăng ký tài khoản trên MeeyLand, bài đăng của bạn sẽ được đăng ngay lập tức sau khi bạn hoàn thiện đăng bài và thanh toán chi phí cho bài đăng (nếu có).",,
,2020-08-12 08:38:40.731751,đăng tin hiệu quả như nào bot,,how_create_new_post,0.723729133605957
,2020-08-12 08:38:40.735305,,"Để đăng bài, thực hiện theo các bước sau: Bước 1: Lựa chọn mục đích đăng bài: • [Mua/ Bán Nhà Đất](https://meeyland.com/articles/new?category=mua-ban-nha-dat) • [Thuê/ Cho Thuê Nhà Đất](https://meeyland.com/articles/new?category=cho-thue-nha-dat) • [Sang Nhượng](https://meeyland.com/articles/new?category=sang-nhuong-nha-dat)
Bước 2: Nhập thông tin Bất động sản
Bước 3: Lựa chọn gói tin đăng ([Bảng giá gói tin](https://meeyland.com/page/bao-gia))
Bước 4: Chọn đẩy tin tự động hoặc không ([Bảng giá đẩy tin](https://meeyland.com/page/bao-gia))
Bước 5: Thanh toán nếu chọn gói tin VIP hoặc đẩy tin tự động.
Bước 5: Bạn có thể lưu nháp, xem trước bài đăng hoặc hoàn tất quá trình đăng bài. ",,
,2020-08-12 16:59:21.740043,good evening,,bye,0.9275847673416138
,2020-08-12 16:59:21.744300,,Rất vui được trao đổi với bạn!,,
,2020-08-12 16:59:21.876579,evening,,deny,0.4731099009513855
,2020-08-12 16:59:21.881135,,"Vui lòng liên hệ với bộ phận Chăm sóc khách hàng để được hỗ trợ nâng cao ạ:
• Gọi đến tổng đài theo số hotline 08.69.09.29.29
• Gửi mail yêu cầu hỗ trợ tới địa chỉ “contact@meeyland.com”
• Chat với 'Chăm sóc khách hàng'",,
,2020-08-12 16:59:39.321075,buổi tối vui vẻ bạn nhé,,chitchat,0.9390451908111572
,2020-08-12 16:59:39.324831,,Trứng vịt muối từ đâu ra? -Vịt muối đẻ chứ đâu!!!,,
,2020-08-12 16:59:39.362564,nhé,,affirm,0.9538435339927673
,2020-08-12 16:59:39.366580,,Bạn có thắc mắc hay cần giúp đỡ gì nữa không ạ,,
,2020-08-12 16:59:52.648263,bạn giúp tôi đăng tin được không,,why_reject_post,0.6387003660202026
